product_id;product_name;product_type;product_vertical
156;AI for Digital Innovation;Certification;Artificial Intelligence
157;Data Science;Certification;Data
164;Power BI;Course;Data
165;Principios de Inteligencia Artificial;Course;Artificial Intelligence
167;DevOps Engineer;Microcertification;Programming
172;Bases de datos NoSQL;Microcertification;Data
180;Full Stack;Certification;Programming
180;Python desde Cero;Course;Data
199;Digital Product Management;Microcertification;Business
201;Data Analyst;Microcertification;Data
211;Back End en JAVA;Microcertification;Programming
231;Digital Mindset;Microcertification;Business
242;Fundamentos de GO;Course;Programming
260;Back End Developer;Certification;Programming
280;Front End Developer;Certification;Programming
301;React Developer;Course;Programming
310;Web Designer;Microcertification;Programming
